holograph n．亲笔信
bequest n．遗产，遗赠物
irradiate v．使明亮，生辉
bereave v．丧亲，夺去
peremptory adj．专横的，不容反抗的
tenure n．任期，终身职位
itinerary n．行程表，旅行路线
lair n．野兽的巢穴，躲藏处
installment n．分期付款，安装
ensconce v．安置,安坐
pamper v．纵容，过分关怀
meander v．蜿蜒而流，漫步
symposium n．专题讨论家，研讨会
eclecticism n．折衷主义
obscure adj．难解的，不清楚的v．隐藏，使…模糊
discern v．（费劲）识别，看出
irritable adj．易怒的，易受刺激的
iconoclast n．攻击传统观念或风俗的人
chromosome n．染色体
revenue n．收入，国家的税收
salve n．药膏，v．减轻，缓和
irrevocable adj．不能改变的，无法取消的
suitor n．求婚者，（法律）原告
colossus adj.巨人，巨型雕像
assault n．突然袭击、猛袭
utilitarian adj．功利的，实利的
insipid adj．乏味的，枯燥的
fawn n．未满周岁的小鹿,v.巴结,奉承
upholstery n．室内装潢品（地毯，窗帘等）
thicket n．树丛，灌木丛
obstruct v．阻塞，截断
victuals n．食物，饮食
extradite v．引渡回国,拿获归案
resplendence n．灿烂，辉煌
calibre n．（枪等）口径，（人或事）品质，才能
vendor n．小贩
tycoon n．有钱有势的企业家，大亨
enlist v.(使)入伍从军,征募
negation n．取消
redundancy n．过剩，似乎多余其实重要的后备力量
emigrate v．自本国移居他国
speciosity n．似是而非，外表美观
epidermis n．表皮，外皮
reproof n．斥责，责备
motet n.赞美诗，圣歌
regurgitate v.反胃，呕吐
quagmire n．沼泽地，困境
trunk n．树干，大衣箱
digress v．离题，把（话题）离开
firmament n.苍穹，天空
hard-bitten adj．不屈的，顽强的
unravel v．解开，拆散
ligneous adj．木质的，木头的
tanner n．制革工人
anemia n．贫血，盆血症
oomph n.精力，吸引力
abracadabra n.咒语，胡言乱语
jettison v．向外抛弃，n．抛弃的货物
herbivorous adj．食草的
acolyte n．（教士的）助手，侍僧
niggardly adj．吝啬的，勉强的
dossier n．卷宗，档案
exponent n.说明者，支持者
germinate v．发芽，发展
mould,mold n．模子，气质v．塑造
measles n．麻疹
serpentine adj．似蛇般绕曲的，蜿蜒的
resurgence n．复兴，再起
blight n．植物枯萎病v．使…枯萎
groove n．凹线，（刻出的）线条，习惯
sewer n．排水沟，下水道
intangible adj．不可捉摸的
period n．句号
accomplice n．同谋者，帮凶
impulsive adj．易冲动的，感情用事的
recoil v．退却，退缩
vendor n．小贩
copyright n．版权，著作权
insolent adj．粗野的，无礼的
puncture n．刺孔,穿孔v．刺穿,刺破
tenacity n．坚持，固执
gangling adj.瘦长得难看的
dietitian n．营养学家
intermission n．暂停,间歇
stationery n．文具
litterbin n．垃圾桶
irk v．使苦恼，厌烦．
militant adj．好战的，好暴力的
animosity n．憎恶，仇恨
mannequin n．时装模特儿，假人
buxom adj．体态丰满的
coagulant n.凝结剂
pregnant adj．怀孕的,充满的
