brindled adj.有斑纹的
anguish n．极大痛苦
homograph n．同形异义字
odoriferous adj．有香味的，芳香的
vendor n．小贩
disparate adj．迥然不同的，不可并论的
flout v．蔑视，违抗
otherworldly adj.超脱尘世的，超俗的
fertility n．肥沃，丰饶
log n．v．日志，
ample adj．富足的，充足的
excision n.切除,割除
acclamation n．欢呼
kernel n．果仁、核心
malnutrition n．营养不良
overwhelming adj．巨大的，压倒性的
contract v．订合同，收缩
quench v．熄灭（火），抑制（欲望）
star-crossed adj．时运不济的
nerveless adj．无力的，无勇气的
repudiate v．拒绝，抛弃
congruity n．全等，一致
histrionics n．演戏，表演
knocker n．敲击的人，门环
estuary n.河口,三角湾
dilapidation n．破旧、荒废
flux n．变迁，不断的变化
pell-mell adv．混乱地，匆促地
jazzy adj．吸引人的，花哨的
paucity n．小量，缺乏
nirvana n．心灵的平静，解脱
skiff n．轻舟，小船
otiose adj．不必要的，多余的
rankle v．（怨恨，失望等）难以释怀
flirt v．挑逗，调戏
pension n．养老金，退休金
opaque adj．不透明的，难懂的
emaciated adj.瘦弱的
nepotism n．裙带关系
perquisite n．固定津贴，福利
fulsomeness n．虚情，谄媚
estimable a.值得敬重的，可估计的
avow v.承认,公开宣称
privilege n．特权,利益
complexion n.肤色，局面
furbish v．磨光，刷新
sanctimonious adj．伪装虔诚的
temporal adj．时间的，世俗的
mope v．n．抑郁不乐，生闷气
abide v．容忍，忍受
paradox n．矛盾、似矛盾而正确的说法
medieval adj．中世纪的，中古的
hold n．（船）货舱
vulnerable adj．易受攻击的，脆弱的
paltry adj．无价值的，微不足道的
genetics n．遗传学
magniloquent adj．夸张的
imaginary adj．虚构的
novice n．生手，新手
remittent adj．（病）间歇性的，忽好忽坏的
speciosity n．似是而非，外表美观
relapse n．v．旧病复发，再恶化
monasticism n．修道生活，禁欲主义
heiress n．女继承人
hidebound adj．顽固的，心胸狭窄的
reticent adj．沉默不语的
flout v．蔑视，违抗
commensurate adj.同样大小的，相称的
rapine n.劫掠，掠夺
jilt v.抛弃，遗弃(情人或恋人)
adobe n．泥砖，土坯
auger n.螺丝钻,钻孔机
crude adj．未提炼的，粗鲁的，n．原油
impecunious adj．不名一文的，贫困的
proclivity n．倾向,癖性
allurement n．诱惑物
eccentricity n．反常，怪癖
cantankerous adj．脾气坏的，好争吵的
holocaust n．大屠杀，浩劫
homage n．效忠，崇敬
conducive adj．有助于…的
notorious adj．臭名昭著的，著名的
talisman n．避邪物，护身符
dross n．浮渣，糟粕
douse v．把…浸入水中，用水泼
limpid adj．清澈的，透明的
swill v．冲洗，痛饮
badger n.獾
ensemble n．全体,大合唱
ribald adj．下流的，粗鄙的
