lyric adj．抒情的，n．抒情诗
pied adj．杂色的
epilogue n．收场白,尾声
attrition n.消磨,磨损
ignominy n．羞耻，屈辱
incline n　斜坡v．倾斜，爱好
pendulum n．摆，钟摆．
scheme n．阴谋，（作品等）体系，结构
senile adj．年老的
sanitation n．（公共）卫生
respite n．休息，中止，暂缓
rabid adj．患狂犬病的，疯的，失去理性的
vagabond n．浪荡子，流浪者，adj．流浪的
curd n．凝乳
massacre n．大屠杀，大败
gleaner n．拾落穗的人
indemnify v．赔偿，偿付
totter v．摇摇欲坠，步伐蹒跚
exhilarate v.使高兴
deteriorate v．（使）变坏，恶化
splashy adj．大而显眼的，引人注目的
gravity n．严肃，一本正经
reincarnate v．使化身，转生
appreciative adj．感谢的，赞赏的
baffle v.使困惑,难倒
vacillate v．游移不定，踌躇
lusty adj．精力充沛的
gust n．阵风，一阵（情绪）
cursive adj．草书的
maltreat v．虐待
oak n．橡树
pulchritudinous adj．美丽的
holograph n．亲笔信
arsenic n.砒霜，砷
teetotal adj．滴酒不沾的
discompose v．使失态，慌张
debouch v．流出，进入（开阔地区）
asylum n.避难所,庇护所
clemency n.仁慈，(气候)温和
embroidery n．刺绣(品),润色
priority n．在先,居前,优先权
mendacity n．虚假
travail n．艰苦劳动，痛苦
rigidity n．固执，坚定，僵化
armistice n．休战，停战
atlas n.地图集
segment n．部分
ubiquitous adj．无所不在的，普通的
sap n．树液，活力．v．削弱，耗尽
smear n．油渍，污点v．弄脏，玷污
spoof v．揶揄，嘲讽
fulmination n．抨击，谴责
sunder v．分裂，分离
mischievous adj．淘气的，有害处的
rapprochement n．和好，和睦
clarification n.解释，澄清
prim n．端庄的,整洁的
divest (of)v．卸下盛装，剥夺
fascinating adj．迷人的，吸引人的
diabetes n．糖尿病
airtight adj．密封的
stagnant adj．不流动的，停滞的
expostulate v．(对人或行为的)抗议，告诫
flex v．弯曲
profusion n．丰富、大量、浪费
pullulate v．繁殖,剧增
steep v．浸泡，浸透
meager adj．贫乏的，削瘦的
oleaginous adj.含油的，油腻的
tedious adj．冗长的，沉闷的
attrition n.消磨,磨损
dappled adj．有斑点的，斑驳的
ambivalent adj．（对人或物）有矛盾看法的
viscosity n．粘度，粘性
jollity n．快乐，欢乐
stimulus n刺激，激励（复：stimuli）
superlative adj最佳的
identify v．认明，认出
vainglorious adj．自负的，虚荣心强的
demeanor n．举止，行为
