lobster n．龙虾
discography n.唱片分类目录
elide v.省略(音、音节)
inviolable adj．不可侵犯的，不可亵渎的．
mishap n．不幸，坏运气
poke v．刺,戳,嘲弄
referee n．裁判员，仲裁者
pediatrics n．小儿科
unanimous adj．全体意见一致的
sting v．刺痛，叮螯，n．螫刺
convulsion n．骚动，痉挛
memento n．纪念品
rivulet n．小溪，小河
emulate v．努力赶上或超越
gross adj．总的，粗野的n．整个，全部
harass v．烦扰
pugilism n．拳击,搏击
curd n．凝乳
adagio adj.缓慢的，宁静的
coincide v.巧合，一致
wily adj．狡猾的
fussy adj．爱挑剔的
nugatory adj．无价值的，琐碎的
penultimate adj．倒数第二的
proctor n．代理人,学监
flawless adj．完美的，无瑕疵的
overture n．前奏曲、序曲
esoteric adj．秘传的，神秘的
apparel n．（精致的）衣服
acute adj．灵敏的，（病）急性的
requite v．报答，报复
attribute n.属性,品质,v.把…归于
brim n．（杯）边，缘v．盈满
incommensurate adj．不成比
libel v．n．（文字）诽谤，中伤
impenetrable adj．不能穿透的，不可理解的
pageant n．壮观的游行，露天历史剧
impregnable adj．攻不破的，征服不了的
sinew n．腱，力量，精力
seascape n．海景
impalpable adj．无法触及的，不易理解的
princely adj．王子的,慷慨的
tally v．（使）一致，符合n．完全相似
ruminate v．反刍，再嚼，深思
sublimate v．（使）升华，净化
verdigris n．铜锈，铜绿
spartan adj．简朴的，刻苦的
pusillanimous adj．懦弱的，胆小的
impose v．征税，强加
byre n.牛栏，牛棚
warrant n．正当理由，逮捕证
mordant adj．讥讽的，尖酸的
tragedienne n．悲剧女演员
rueful adj．后悔的，遗憾的
rabid adj．患狂犬病的，疯的，失去理性的
laudatory adj．表扬的，赞扬的
zenith n．天顶，极点
galvanize v．电镀，通电，激励
opiate n．安眠药，鸦片制剂
provident adj．深谋远虑的,节俭的
smirk v．假笑，得意地笑
liberated adj．无拘束的，放纵的
gleanings n．所拾得的落穗
advisable adj．适当的，可行的
heritage n．遗产，继承物
custodian n．管理员，监护人
pulmonary adj.肺的，对肺有影响的
rig v．欺骗，舞弊，伪造
aspiration n．渴望，热望
uncanny adj．神秘的，不可思议的
festal adj．节日的，欢乐的
knoll n．小圆丘
agreement n．一致，协议
fief n.封地，活动范围
armistice n．休战，停战
acidulous adj．有酸味的，刻薄的
viscosity n．粘度，粘性
fluffy adj．有绒毛的，空洞的
exhume v.掘出,发掘
revelry n．狂欢
speculation n．思索，推测，投机
prompt v．促使,激起adj．敏捷的，迅速的
huffy adj．愤怒的，暴躁的
allegation n．（无证据的）指控
toxic adj．有毒的，中毒的
saturnalia n．纵情狂欢
opinionated adj．固执已见的
fitful adj．不安的
dormant adj．冬眠的，静止的
recount v．描述，叙述
muddle n．混乱，迷惑
allude v．间接提到，暗指
quest v．n．搜寻，探求
marginal adj．书页空白处的，不重要的
pensive adj．沉思的，愁眉苦脸的
eulogy n.颂词，颂文
anomalous adj．反常的，不规则的
vulgar adj．无教养的，下流的
tender v．提出（希望对方接受的意见等）
rendering n．演出，翻译
classify v.分类，归类
rejoicing n．欢乐，狂喜
verdant adj．青葱的，翠绿的
