plaster n灰泥,石膏．v．抹泥
curator （博物馆等）馆长
hegemony n．霸权，领导权
cohesion n.内聚力
abuse v．n．辱骂，滥用
percolate v．过滤出，渗透
vulnerable adj．易受攻击的，脆弱的
whelm v．用…覆盖，淹没
inculcate v．灌输，谆谆教诲
dichotomy n．二分、本质对立
irk v．使苦恼，厌烦．
carousal n．欢闹的酒宴
carrion n．腐肉
aggrandize v．增大，扩张
adjacent adj．接近的，毗连的
calculating adj．深谋远虑的，精明的。
optional adj．可自由选择的
ravenous adj．饿极了的，贪婪的
cleaver n.切肉刀
gossamer n．蛛丝，薄纱，adj．轻而薄的
infidelity n．不忠实，不贞
smirch v．玷污，n．污点
venison n．鹿肉
intervention n．干涉
flounder n．比目鱼
livable adj．适于居住的，（人）可相处的
amass v．积聚
hub n．轴心，中心
cephalic adj．头的，头部的
gradient n.坡度，斜度
cannibalism n．同类相食
propitiatory adj．讨好的,调解的
equitable adj．公平的，公正的
wanderlust n．漫游癖，旅游热
suffocate v．（使）窒息而死
pastime n．消遣，娱乐
matey adj.友善的，亲密的，n.好友(
redress v．n．改正，修正
laggard adj．缓慢的，落后的，n．落后者
libido n．性欲，生命力
stock 　adj．普通的，惯用的
bazaar n.集市,商店集中区
relent v．动怜悯心，减弱
grudge v．吝啬，不满．
glare v．发出眩目光芒，怒目而视
lacework n．网状物
reprieve n．v．缓刑，暂时解救
hulk n．废船，笨重之人或物
earring n．耳环，耳饰
inadvertent adj．不注意的，疏忽的
didactics n．教学法
shoddy n．劣质的，冒充好货的
bore v．n．钻孔，令人厌烦的人
debauch v．使放荡，堕落
sect n．（宗教等）派系
frond n．（羊齿（fern），棕榈等的）叶子
secede v．正式脱离或退出（组织）
ewer n．大口水罐
dolt n．笨蛋，傻瓜
gusto n．爱好，兴致勃勃
swine n．猪
ford n．浅滩，水浅可涉处v．涉水
contrition n．悔罪，痛悔
raisin n.葡萄干
avenge v.为…复仇,为…报仇
implication n．牵连，暗示
desist v.停止，中止
descry v．远远看到，望见
raucous adj．（声音）沙哑的，粗糙的
heir n．继承人
bolted adj．脱离的
watershed n.分水岭，流域
lumber v．蹒跚而行，笨拙地走n．杂物，累赘
evoke v.引起，唤起
satirical adj．讽剌的，爱挖苦的
conjure v．变魔术，变戏法
typhoid n.伤寒症
hydrate n．水化物
intolerant adj不容异已的
aspiration n．渴望，热望
marginal adj．书页空白处的，不重要的
obeisance n．鞠躬，敬礼
emetic n.催吐药
meddlesome adj．爱管闲事的
septic adj．受感染的、腐败的
immure v．监禁
scathing adj．苛刻的，严厉的
siege n．包围，围攻
dither n.v.慌张，犹豫不决
omniscient adj．无所不知的、博识的
perpetrate v．犯罪，作坏事
heyday n．全盛时期，青春期
fell n．兽皮，v．砍伐
berth v.(船)停泊
carnage n．大屠杀，残杀
aquiline adj．鹰的，似鹰的．
expediency n.方便,权宜之计
confide v．吐露（心事）
torpid adj．懒散的，死气沉沉的
dormant adj．冬眠的，静止的
excoriate v.撕去皮，严厉批评
secession n．脱离、退出
ramble n．v．漫步，散步
