odium n．憎恶，反感
clamorous adj.吵闹的，喧哗的
encapsulate v．装入胶囊,压缩
synchronous adj．同时发生的，同步的
declination n．倾斜，衰微
stunt v．阻碍（成长），n．特技，绝技
grandiloquent adj（语言等）夸张的，夸大的
mien n．风采，态度
scaffold n．脚手架（造房时搭的架子）
strip v．剥去，n．狭长的一片
mar v．破坏，损伤
feud n．宿怨，不和
baron n.大财主,大老板
adorable adj．迷人的，可爱的
pinch v．捏，掐n．一撮，一点
gormandize v．拼命吃，贪吃
momentous adj．极重要的，严重的
rubble n．（一堆）碎石，瓦砾
treachery n．阴险，背叛
striking adj．引人注目的，明显的
compulsive adj．难以抑制的
retributive adj．报应的
pejorative adj．带有轻蔑意义的，贬低的
recumbent adj．侧卧的，休息的
piano adj．（音乐）轻柔的
grasping adj．贪心的，贪婪的
totalitarian adj．极权主义的
flail n．连枷（打谷工具）v．打，打击
tedium n．单调乏味
rite n．（宗教的）仪式
relegate v．降级，贬谪
manuscript n．手稿，手抄本
internment n．拘禁
plaque n.饰板，匾，(医)血小板
pilgrim n．朝圣客，香客
opalescent adj．像蛋白石的，发乳白光的
vaccination n．预防注射，种痘
calcify v．使硬化，钙化
placate v．抚慰,平息(愤怒)
clement adj.仁慈的，温和的
senescent adj．衰老的、老化的
epilogue n．收场白,尾声
accidental adj．意外的，偶然的
jilt v.抛弃，遗弃(情人或恋人)
finable adj．应罚款的
truculence n．凶猛，粗暴
trite adj．陈腐的，陈词滥调的
upbraid v．斥责，责骂
scavenger n．食腐动物，拣破烂的人
synopsis n．摘要，概要
caricature n．讽刺画，滑稽模仿
rave n．热切赞扬，倾倒
inhuman adj．残忍的
opiate n．安眠药，鸦片制剂
avow v.承认,公开宣称
embroil v．牵连,卷入纠纷
outre adj.奇怪的，荒诞的
brim n．（杯）边，缘v．盈满
infinitesimal adj．极微小的
declassify v．撤销保密
moulder v.渐趋腐朽
intersection n．横断,十字路口
reverent adj．恭敬的，虔诚的．
jesuitical adj.阴险的，虚伪的
encroach v．侵占，蚕食
distension n．膨胀
ad-lib adj.即兴表演的
aberrant adj．越轨的，异常的
genuflect v．曲膝半跪（以示敬意），屈从．
growl v．（动物）咆哮，吼叫
enactment n．颁布，扮演
mince v．切碎，小步走路
fervent adj．热的，热烈的
variance n．矛盾，不同
conjecture v．n．推测，臆测
blitz n.闪电战，大量活动
liquefy v．液化，溶解
illicit adj．违法的，违禁的
mansion n．公馆，大厦
excruciating adj.极痛苦的
glucose n．葡萄糖
hedonism n．享乐主义，享乐
parse n.v.从语法上分析
acquittal n．宣告无罪，开释
diabetes n．糖尿病
antithesis n．对立，相对
classify v.分类，归类
belch v.打嗝，喷出
sober adj．清醒的，庄重的
predator n．食肉动物
domesticity n．（喜欢）家庭生活
